10019	10019	54
10017	10017	24
10016	10016	32
10022	10022	24
10065	10065	5
10013	10013	23
10010	10010	8
10036	10036	59
10001	10001	45
10075	10075	1
10007	10007	5
10011	10011	12
10003	10003	8
10023	10023	6
10006	10006	7
10024	10024	6
10005	10005	6
10021	10021	2
10025	10025	6
10128	10128	2
10018	10018	48
10038	10038	14
10282	10282	1
10004	10004	5
10002	10002	24
10014	10014	5
10012	10012	2
10027	10027	1
10026	10026	1
10035	10035	2
10032	10032	1
10030	10030	1
10113	10113	1
42000	42000	1
10044	10044	1
10019	10019	54
10017	10017	24
10016	10016	32
10022	10022	24
10065	10065	5
10013	10013	23
10010	10010	8
10036	10036	59
10001	10001	45
10075	10075	1
10007	10007	5
10011	10011	12
10003	10003	8
10023	10023	6
10006	10006	7
10024	10024	6
10005	10005	6
10021	10021	2
10025	10025	6
10128	10128	2
10018	10018	48
10038	10038	14
10282	10282	1
10004	10004	5
10002	10002	24
10014	10014	5
10012	10012	2
10027	10027	1
10026	10026	1
10035	10035	2
10032	10032	1
10030	10030	1
10113	10113	1
42000	42000	1
10044	10044	1
10019	10019	54
10017	10017	24
10016	10016	32
10022	10022	24
10065	10065	5
10013	10013	23
10010	10010	8
10036	10036	59
10001	10001	45
10075	10075	1
10007	10007	5
10011	10011	12
10003	10003	8
10023	10023	6
10006	10006	7
10024	10024	6
10005	10005	6
10021	10021	2
10025	10025	6
10128	10128	2
10018	10018	48
10038	10038	14
10282	10282	1
10004	10004	5
10002	10002	24
10014	10014	5
10012	10012	2
10027	10027	1
10026	10026	1
10035	10035	2
10032	10032	1
10030	10030	1
10113	10113	1
42000	42000	1
10044	10044	1
