94301	94301	13
94306	94306	18
94025	94025	7
94022	94022	5
94040	94040	21
94304	94304	2
94027	94027	2
94043	94043	2
94061	94061	5
94024	94024	1
94085	94085	1
94087	94087	5
94063	94063	1
94062	94062	8
94086	94086	1
94041	94041	1
94070	94070	1
94301	94301	13
94306	94306	18
94025	94025	7
94022	94022	5
94040	94040	21
94304	94304	2
94027	94027	2
94043	94043	2
94061	94061	5
94024	94024	1
94085	94085	1
94087	94087	5
94063	94063	1
94062	94062	8
94086	94086	1
94041	94041	1
94070	94070	1
94301	94301	13
94306	94306	18
94025	94025	7
94022	94022	5
94040	94040	21
94304	94304	2
94027	94027	2
94043	94043	2
94061	94061	5
94024	94024	1
94085	94085	1
94087	94087	5
94063	94063	1
94062	94062	8
94086	94086	1
94041	94041	1
94070	94070	1
